date,rank,full_name,description,html_url,stars,forks,open_issues,language,created_at,pushed_at,owner
2026-09-23,1,NandhaKishorM/laya,"Non-autoregressive System 1 decision engine. Typed choice, score and yes/no decisions over any text in a single forward pass, in 100+ languages, with a router that picks the right checkpoint per request.",https://github.com/NandhaKishorM/laya,18766,1602,102,Python,2026-09-18T04:46:33Z,2026-09-23T07:23:58Z,NandhaKishorM
2026-09-23,2,zai-org/ZCode,"Z.ai's coding agent harness. Powerful, intelligent, extensible.",https://github.com/zai-org/ZCode,6463,1908,11,TypeScript,2026-09-20T12:01:16Z,2026-09-21T00:02:36Z,zai-org
2026-09-23,3,tamaratran/fast-jev-compaction,"Claude Code plugin that replaces the compaction summary with Jev decisions: every tool call and result is scored in one fast request, stale ones are dropped or truncated, everything kept stays verbatim.",https://github.com/tamaratran/fast-jev-compaction,6461,370,75,TypeScript,2026-09-17T05:57:20Z,2026-09-18T04:45:31Z,tamaratran
2026-09-23,4,mizorewww/laya-mlx,"Native MLX runtime for Laya typed decision models — 7–14 ms short decisions on M3 Max. No text generation, PyTorch, or cloud API.",https://github.com/mizorewww/laya-mlx,5732,414,10,Python,2026-09-19T13:50:26Z,2026-09-22T05:34:51Z,mizorewww
2026-09-23,5,jaredpalmer/kev,tiny Jev-like family of decision models built on top of Qwen3.5 you can train and run on your own,https://github.com/jaredpalmer/kev,5129,278,20,Python,2026-09-17T20:49:39Z,2026-09-23T08:47:39Z,jaredpalmer
2026-09-23,6,jev-chat/jev-chat-jarvis,装在手机上的对话副驾：在微信 / QQ / X / 飞书里读懂对方、给出候选回复、一键填入输入框，发不发由你。非侵入，只读屏幕，不 hook 不改包。,https://github.com/jev-chat/jev-chat-jarvis,4927,976,36,Kotlin,2026-09-21T11:12:53Z,2026-09-23T05:11:39Z,jev-chat
2026-09-23,7,TianyuCodings/NanoJev,"A nano replica of Jev: parallel decisions, dynamic candidates, and an end-to-end training pipeline.",https://github.com/TianyuCodings/NanoJev,2064,220,7,Python,2026-09-17T16:08:30Z,2026-09-21T09:58:28Z,TianyuCodings
2026-09-23,8,bespokelabsai/nimble,"Local typed decisions, contrastive data curation, and model evaluation.",https://github.com/bespokelabsai/nimble,1665,119,4,Python,2026-09-18T09:07:48Z,2026-09-23T05:22:26Z,bespokelabsai
2026-09-23,9,unreallabsai/unreal-agent,Async-first agent harness,https://github.com/unreallabsai/unreal-agent,1414,68,4,Go,2026-09-21T23:14:02Z,2026-09-22T17:00:39Z,unreallabsai
2026-09-23,10,yibie/awesome-jev,"A curated list of public projects, integrations, and discussions built on Jev — TypeSafe AI's System One model for typed decisions.",https://github.com/yibie/awesome-jev,1401,199,21,Python,2026-09-17T14:23:21Z,2026-09-23T02:34:16Z,yibie
2026-09-23,11,mizorewww/laya-coreml,"Local Laya typed decisions on Apple Core ML and Neural Engine. Validated ports, ~5 ms short decisions on M3 Max, reproducible speed and energy benchmarks.",https://github.com/mizorewww/laya-coreml,1353,108,3,Python,2026-09-19T23:14:13Z,2026-09-22T06:33:09Z,mizorewww
2026-09-23,12,newliver666/apk-reverse,Suitable for Android APK reverse engineering analysis,https://github.com/newliver666/apk-reverse,1109,339,0,Python,2026-09-19T13:12:54Z,2026-09-22T12:57:12Z,newliver666
2026-09-23,13,hydra-db/open-glean,"An open-source AI platform for knowledge work. Connect your apps, find answers, and get work done.",https://github.com/hydra-db/open-glean,878,377,0,TypeScript,2026-09-17T05:22:08Z,2026-09-17T05:46:34Z,hydra-db
2026-09-23,14,githubnext/localjev,,https://github.com/githubnext/localjev,734,46,1,TypeScript,2026-09-18T16:59:55Z,2026-09-18T20:19:02Z,githubnext
2026-09-23,15,Lumid-Off/AirCard-Windows,,https://github.com/Lumid-Off/AirCard-Windows,732,51,9,Rust,2026-09-18T14:27:48Z,2026-09-22T04:45:03Z,Lumid-Off
2026-09-23,16,v-modal/awesome-jev-tools,A curated list of tools  built for Jev — TypeSafe AI's System One model for typed decisions.,https://github.com/v-modal/awesome-jev-tools,676,23,17,,2026-09-19T16:48:59Z,2026-09-19T17:02:33Z,v-modal
2026-09-23,17,kerpopule/hermes-jev-skills,"Jev-powered model routing, memory, compaction, skill selection, computer and browser use for Hermes agents (also Claude Code and Codex)",https://github.com/kerpopule/hermes-jev-skills,672,61,8,Python,2026-09-18T20:01:29Z,2026-09-22T22:22:36Z,kerpopule
2026-09-23,18,heyjunpenn/awesome-jev,"A verified, community-maintained catalog of 832 open-source projects built with Jev.",https://github.com/heyjunpenn/awesome-jev,672,48,9,Astro,2026-09-19T05:14:36Z,2026-09-23T10:25:54Z,heyjunpenn
2026-09-23,19,incoai/splash,"A local inference engine for Apple silicon, built around the model.",https://github.com/incoai/splash,655,60,35,Python,2026-09-18T20:01:48Z,2026-09-23T08:57:30Z,incoai
2026-09-23,20,volotat/mini-AGI,Continual learning model trained from scratch on 8GB VRAM laptop with batch-1 stream of data.,https://github.com/volotat/mini-AGI,652,83,11,Python,2026-09-19T00:25:59Z,2026-09-23T09:46:04Z,volotat
2026-09-23,21,pallavi-shekhar/ai-engineering-interview-questions-company-wise,Your Cheat Sheet For AI Engineering Interviews at Top AI Companies - Questions and Answers.,https://github.com/pallavi-shekhar/ai-engineering-interview-questions-company-wise,631,43,0,Markdown,2026-09-19T04:14:43Z,2026-09-19T10:40:41Z,pallavi-shekhar
2026-09-23,22,ethanplusai/astra-flash-orchestrator,"Astra plans and reviews; DeepSeek Flash builds. A native Codex workflow with phased tasks, verification, safe installation and reversible setup.",https://github.com/ethanplusai/astra-flash-orchestrator,611,48,2,Python,2026-09-17T05:42:31Z,2026-09-20T22:08:28Z,ethanplusai
2026-09-23,23,gylive/ccodex-sleep-state,尝试改善 Codex 降智、限流与连接体验。本地一键启动、网页配置修复，支持 Astra / Sol / Terra、订阅和代理；不保证取得指定 state 或提升模型质量。,https://github.com/gylive/ccodex-sleep-state,605,153,9,Go,2026-09-18T09:02:44Z,2026-09-20T16:33:30Z,gylive
2026-09-23,24,yynxxxxx/gpt_sub_analysis,"Security analysis of the ChatGPT iOS subscription / entitlement flow (internal draft, coordinated disclosure WIP)",https://github.com/yynxxxxx/gpt_sub_analysis,599,313,12,,2026-09-17T13:43:00Z,2026-09-18T12:00:04Z,yynxxxxx
2026-09-23,25,Sac-Y/Jev-cu,,https://github.com/Sac-Y/Jev-cu,585,59,7,JavaScript,2026-09-18T16:56:08Z,2026-09-22T03:08:17Z,Sac-Y
2026-09-23,26,Mak5er/AirCard-iOS, Apple Wallet card skins and lock screen passcode themes on iOS 27. ,https://github.com/Mak5er/AirCard-iOS,565,42,13,Swift,2026-09-19T09:22:23Z,2026-09-20T21:01:12Z,Mak5er
2026-09-23,27,arvindear/wp2shell-PoC,CVE-2026-63030 & CVE-2026-60137 RCE chain proof-of-concept,https://github.com/arvindear/wp2shell-PoC,563,53,0,Python,2026-09-18T16:35:32Z,2026-09-22T16:30:17Z,arvindear
2026-09-23,28,wfzyx/von,"The open-source System One decision model. Sub-15ms, non-autoregressive, local drop-in alternative to TypeSafe Jev.",https://github.com/wfzyx/von,530,42,6,Python,2026-09-18T05:03:47Z,2026-09-23T07:30:21Z,wfzyx
2026-09-23,29,rmalde/minecraft-agent,"Astra planner and JEV controller for Minecraft, with native recording, tested routes, and run verification.",https://github.com/rmalde/minecraft-agent,529,52,2,JavaScript,2026-09-20T05:05:12Z,2026-09-20T05:05:16Z,rmalde
2026-09-23,30,Continuum-AI-Corp/OrcaBonsai-27B-Uncensored,Runtime behavioral ablation for compressed LLMs. First target: Ternary Bonsai 2 27B — no weight modification or re-quantization. by OrcaRouter team,https://github.com/Continuum-AI-Corp/OrcaBonsai-27B-Uncensored,527,61,1,Python,2026-09-18T06:45:54Z,2026-09-22T21:35:31Z,Continuum-AI-Corp
